Centil,Académico/Laboral-min,Académico/Laboral-max,Social-min,Social-max,Emocional-min,Emocional-max,Familiar-min,Familiar-max,Físico-min,Físico-max
99,9.19,9.90,9.90,9.90,8.92,9.90,9.90,,8.50,9.90
97,8.80,9.18,9.58,9.89,8.34,8.91,,,7.92,8.49
95,8.64,8.79,9.30,9.57,7.92,8.33,9.83,9.89,7.62,7.91
93,8.35,8.63,9.15,9.29,7.61,7.91,,,7.37,7.61
90,8.09,8.34,8.93,9.14,7.15,7.60,9.68,9.82,7.08,7.36
85,7.74,8.08,8.67,8.92,6.58,7.14,,,6.67,7.07
80,7.33,7.73,8.42,8.66,6.08,6.57,9.34,9.67,6.33,6.66
75,7.05,7.32,8.20,8.41,5.83,6.07,,,6.00,6.32
70,6.83,7.04,8.01,8.19,5.58,5.82,9.10,9.33,5.75,5.99
65,6.67,6.82,7.83,8.00,5.32,5.57,,,5.48,5.74
60,6.50,6.66,7.67,7.82,5.00,5.31,8.78,9.09,5.17,5.47
55,6.33,6.49,7.50,7.66,4.83,4.99,8.63,8.77,4.99,5.16
50,6.08,6.32,7.33,7.49,4.56,4.82,8.48,8.62,4.72,4.98
45,5.92,6.07,7.23,7.32,,,8.30,8.47,4.52,4.71
40,5.58,5.91,7.00,7.22,4.20,4.55,8.08,8.29,4.33,4.51
35,5.40,5.57,6.83,6.99,4.00,4.19,7.88,8.07,,
30,5.17,5.39,6.58,6.82,3.69,3.99,7.67,7.87,4.00,4.32
25,5.00,5.16,6.33,6.57,3.45,3.68,7.35,7.66,3.67,3.99
20,4.67,4.99,5.97,6.32,3.17,3.44,6.85,7.34,3.45,3.66
15,4.33,4.66,5.63,5.96,2.84,3.16,6.24,6.84,3.17,3.44
10,3.96,4.32,5.08,5.62,2.42,2.83,5.58,6.23,2.64,3.16
7,3.49,3.95,4.70,5.07,2.11,2.41,4.93,5.57,2.20,2.63
5,3.23,3.48,4.47,4.69,1.86,2.10,4.74,4.92,1.88,2.19
3,2.85,3.22,4.01,4.46,1.47,1.85,3.70,4.73,1.70,1.87
1,2.20,2.84,3.03,4.00,0.58,1.46,1.87,3.69,1.08,1.69
