Centil,Académico/Laboral-min,Académico/Laboral-max,Social-min,Social-max,Emocional-min,Emocional-max,Familiar-min,Familiar-max,Físico-min,Físico-max
99,9.44,9.90,9.88,9.90,9.00,9.90,9.90,9.90,9.07,9.90
97,9.03,9.43,9.65,9.87,8.38,8.99,,,8.28,9.06
95,8.82,9.02,9.53,9.64,7.97,8.37,9.83,9.89,7.95,8.27
93,8.67,8.81,9.35,9.52,7.62,7.96,,,7.67,7.94
90,8.37,8.66,9.15,9.34,7.33,7.61,9.68,9.82,7.41,7.66
85,8.04,8.36,8.90,9.14,6.80,7.32,9.52,9.67,7.10,7.40
80,7.75,8.03,8.67,8.89,6.47,6.79,9.37,9.51,6.77,7.09
75,7.42,7.74,8.47,8.66,6.00,6.46,9.22,9.36,6.42,6.76
70,7.17,7.41,8.28,8.46,5.83,5.99,9.07,9.21,6.17,6.41
65,7.00,7.16,8.08,8.27,5.50,5.82,8.88,9.06,5.83,6.16
60,6.75,6.99,7.92,8.07,5.17,5.49,8.72,8.87,5.52,5.82
55,6.45,6.74,7.75,7.91,4.93,5.16,8.55,8.71,5.25,5.51
50,6.17,6.44,7.58,7.74,4.67,4.92,8.32,8.54,5.00,5.24
45,5.92,6.16,7.40,7.57,4.42,4.66,8.13,8.31,4.75,4.99
40,5.71,5.91,7.18,7.39,4.17,4.41,7.93,8.12,4.51,4.74
35,5.50,5.70,7.00,7.17,3.95,4.16,7.72,7.92,4.27,4.50
30,5.25,5.49,6.77,6.99,3.67,3.94,7.47,7.71,4.00,4.26
25,5.00,5.24,6.57,6.76,3.35,3.66,7.12,7.46,3.67,3.99
20,4.51,4.99,6.25,6.56,3.01,3.34,6.77,7.11,3.33,3.66
15,4.17,4.50,5.84,6.24,2.73,3.00,6.37,6.76,2.98,3.32
10,3.50,4.16,5.42,5.83,2.32,2.72,5.75,6.36,2.37,2.97
7,3.00,3.49,5.00,5.41,2.00,2.31,5.17,5.74,1.99,2.36
5,2.63,2.99,4.67,4.99,1.78,1.99,4.50,5.16,1.71,1.98
3,2.08,2.62,4.18,4.66,1.47,1.77,3.87,4.49,1.40,1.70
1,1.35,2.07,3.42,4.17,0.91,1.46,2.43,3.86,1.00,1.39
