Centil,Académico/Laboral-min,Académico/Laboral-max,Social-min,Social-max,Emocional-min,Emocional-max,Familiar-min,Familiar-max,Físico-min,Físico-max
99,9.42,9.90,9.90,9.90,9.35,9.90,9.90,9.90,9.40,9.90
97,8.90,9.41,9.58,9.89,8.96,9.34, ,,8.93,9.39
95,8.35,8.89,9.30,9.57,8.69,8.95,9.70,9.89,8.59,8.92
93,,,9.15,9.29,8.42,8.68, ,, , 
90,8.04,8.34,8.93,9.14,8.00,8.41,9.43,9.69,8.16,8.58
85,7.71,8.03,8.67,8.92,7.67,7.99,9.26,9.42,7.92,8.15
80,7.33,7.70,8.42,8.66,7.35,7.66,8.98,9.25,7.58,7.91
75,7.07,7.32,8.20,8.41,7.13,7.34, ,,7.37,7.57
70,6.82,7.06,8.01,8.19,6.87,7.12,8.72,8.97,7.13,7.36
65,,,7.83,8.00,6.67,6.86,8.52,8.71,6.83,7.12
60,6.27,6.81,7.67,7.82,6.41,6.66,8.33,8.51,6.58,6.82
55,6.05,6.26,7.50,7.66,,,8.13,8.32,6.35,6.57
50,5.78,6.04,7.33,7.49,6.00,6.40,7.97,8.12,6.17,6.34
45,5.53,5.77,7.23,7.32,5.77,5.99, ,,5.98,6.16
40,5.17,5.52,7.00,7.22,5.49,5.76,7.58,7.96,5.69,5.97
35,4.92,5.16,6.83,6.99,5.29,5.48,7.25,7.57, ,
30,4.67,4.91,6.58,6.82,4.98,5.28,7.00,7.24,5.17,5.68
25,,,6.33,6.57,4.67,4.97,6.80,6.99,4.90,5.16
20,4.14,4.66,6.97,6.32,4.49,4.66,6.50,6.79,4.57,4.89
15,3.73,4.13,5.63,6.96,4.15,4.48,6.07,6.49,4.17,4.56
10,3.29,3.72,5.08,5.62,3.68,4.14,5.18,6.06,3.79,4.16
7,2.99,3.28,4.70,5.07,3.18,3.67,4.78,5.17,3.42,3.78
5,2.67,2.98,4.47,4.69,3.01,3.17,4.48,4.77,3.15,3.41
3,2.29,2.66,4.01,4.46,2.47,3.00,3.59,4.47,2.85,3.14
1,1.51,2.28,3.03,4.00,1.92,2.46,2.85,3.58,2.04,2.84
