Centil,Académico/Laboral-min,Académico/Laboral-max,Social-min,Social-max,Emocional-min,Emocional-max,Familiar-min,Familiar-max,Físico-min,Físico-max
99,9.12,9.90,9.88,9.90,9.32,9.90,9.90,9.90,9.61,9.90
97,8.85,9.11,9.65,9.87,8.87,9.31,,,9.27,9.60
95,8.58,8.84,9.53,9.64,8.66,8.86,9.83,9.89,9.07,9.26
93,8.42,8.57,9.35,9.52,8.48,8.65,,,8.79,9.06
90,8.17,8.41,9.15,9.34,8.09,8.47,9.68,9.82,8.52,8.78
85,7.75,8.16,8.90,9.14,7.72,8.08,9.52,9.67,8.13,8.51
80,7.47,7.74,8.67,8.89,7.32,7.71,9.37,9.51,7.87,8.12
75,7.20,7.46,8.47,8.66,7.00,7.31,9.22,9.36,7.67,7.86
70,6.99,7.19,8.28,8.46,6.68,6.99,9.07,9.21,7.45,7.66
65,6.72,6.98,8.08,8.27,6.48,6.67,8.88,9.06,7.22,7.44
60,6.50,6.71,7.92,8.07,6.17,6.47,8.72,8.87,6.98,7.21
55,6.25,6.49,7.75,7.91,5.98,6.16,8.55,8.71,6.77,6.97
50,6.08,6.24,7.58,7.74,5.83,5.97,8.32,8.54,6.52,6.76
45,5.83,6.07,7.40,7.57,5.58,5.82,8.13,8.31,6.33,6.51
40,5.58,5.82,7.18,7.39,5.33,5.57,7.93,8.12,6.14,6.32
35,5.33,5.57,7.00,7.17,5.08,5.32,7.72,7.92,5.86,6.13
30,4.97,5.32,6.77,6.99,4.83,5.07,7.47,7.71,5.57,5.85
25,4.67,4.96,6.57,6.76,4.58,4.82,7.12,7.46,5.33,5.56
20,4.33,4.66,6.25,6.56,4.33,4.57,6.77,7.11,5.02,5.32
15,3.83,4.32,5.84,6.24,3.83,4.32,6.37,6.76,4.63,5.01
10,3.34,3.82,5.42,5.83,3.33,3.82,5.75,6.36,4.02,4.62
7,2.89,3.33,5.00,5.41,3.00,3.32,5.17,5.74,3.52,4.01
5,2.59,2.88,4.67,4.99,2.75,2.99,4.50,5.16,3.19,3.51
3,1.87,2.58,4.18,4.66,2.42,2.74,3.87,4.49,2.48,3.18
1,0.89,1.86,3.42,4.17,1.95,2.41,2.43,3.86,1.53,2.47
