Centil,Académico/Laboral-min,Académico/Laboral-max,Social-min,Social-max,Emocional-min,Emocional-max,Familiar-min,Familiar-max,Físico-min,Físico-max
99,8.98,9.90,9.75,9.90,9.06,9.90,9.75,9.90,8.78,9.90
97,8.50,8.97,9.44,9.74,,, ,, ,
95,8.26,8.49,9.17,9.43,8.66,9.05,9.52,9.74,8.08,8.77
93,, ,9.00,9.16,8.16,8.65, ,, ,
90,7.83,8.25,8.78,8.99,7.72,8.15,9.13,9.51,7.60,8.07
85,,,8.50,8.77,7.33,7.71, ,,7.30,7.59
80,7.41,7.82,8.27,8.49,7.00,7.32,8.90,9.12,6.95,7.29
75,,,8.07,8.26,, ,,, , 
70,7.07,7.40,7.85,8.06,6.67,6.99,8.53,8.89,6.46,6.94
65,,,7.67,7.84,,,8.32,8.52, ,
60,6.67,7.06,7.50,7.66,6.33,6.66,8.07,8.31,6.00,6.45
55,,,7.33,7.49,,, , , , 
50,6.33,6.66,7.08,7.32,5.83,6.32,7.62,8.06,5.67,5.99
45,,,6.83,7.07,, ,7.42,7.61, , 
40,6.00,6.32,6.58,6.82,5.39,5.82,7.12,7.41,5.33,5.66
35,5.78,5.99,6.33,6.57,5.17,5.38, , , , 
30,5.53,5.77,6.08,6.32,4.94,5.16,6.85,7.11,4.92,5.32
25,5.33,5.52,5.83,6.07,, ,6.55,6.84,4.50,4.91
20,5.00,5.32,5.58,5.82,4.46,4.93,6.28,6.54,4.08,4.49
15,4.67,4.99,5.25,5.57,4.17,4.45,6.00,6.27, , 
10,4.31,4.66,4.85,5.24,3.81,4.16,5.34,5.99,3.38,4.07
7,4.07,4.30,4.40,4.84,,, ,,3.08,3.37
5,3.45,4.06,4.10,4.39,3.33,3.80,4.62,5.33,2.75,3.07
3,3.12,3.44,3.67,4.09,3.00,3.32,4.17,4.61,2.22,2.74
1,2.56,3.11,2.45,3.66,2.59,2.99,3.60,4.16,1.43,2.21
